country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Thailand,"$1,558,000,000,000 USD","$6,006,660,000 USD","36,358,919","360,850","200,000","46,000","245,000","69,850","Stock: 496			
Readiness: 298*","Stock: 26 (5.2%)

Readiness: 16*","Stock: 73 (14.7%)

Readiness: 44*","Stock: 52 (10.5%)

Readiness: 31*","Stock: 258 (52.0%)

Readiness: 155*","Stock: 25 (5.0%)

Readiness: 15*","Stock: 134 (27.0%)

Readiness: 80*","Stock: 7 (1.4%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",304,0,1,0,7,5,0,254,5,"Stock: 744				
Readiness: 484*","Stock: 52,590            	
Readiness: 34,184*","Stock: 59				
Readiness: 38*","Stock: 595				
Readiness: 387*","Stock: 17				
Readiness: 11*","$37,065,000,000 USD",0.4458
South Korea,"$2,607,000,000,000 USD","$44,800,000,000 USD","26,040,900","450,000","3,100,000","65,000","365,000","70,000","Stock: 1,540			
Readiness: 1,078*","Stock: 98 (6.4%)

Readiness: 69*","Stock: 242 (15.7%)

Readiness: 169*","Stock: 40 (2.6%)

Readiness: 28*","Stock: 827 (53.7%)

Readiness: 579*","Stock: 35 (2.3%)

Readiness: 25*","Stock: 335 (21.8%)

Readiness: 235*","Stock: 113 (7.3%)

Readiness: 79*","Stock: 4 (0.3%)

Readiness: 3*",215,0,2,14,18,3,22,96,14,"Stock: 1,831				
Readiness: 1,282*","Stock: 117,460            	
Readiness: 82,222*","Stock: 2,780				
Readiness: 1,946*","Stock: 5,800				
Readiness: 4,060*","Stock: 525				
Readiness: 368*","$553,871,450,000 USD",0.1642
Japan,"$5,715,000,000,000 USD","$58,000,000,000 USD","52,976,836","251,500","56,000","50,000","206,700","50,800","Stock: 1,429			
Readiness: 1,143*","Stock: 47 (3.3%)

Readiness: 38*","Stock: 217 (15.2%)

Readiness: 174*","Stock: 53 (3.7%)

Readiness: 42*","Stock: 583 (40.8%)

Readiness: 466*","Stock: 135 (9.4%)

Readiness: 108*","Stock: 399 (27.9%)

Readiness: 319*","Stock: 118 (8.3%)

Readiness: 94*","Stock: 10 (0.7%)

Readiness: 8*",158,0,4,41,8,0,23,6,18,"Stock: 734				
Readiness: 587*","Stock: 54,390            	
Readiness: 43,512*","Stock: 193				
Readiness: 154*","Stock: 480				
Readiness: 384*","Stock: 99				
Readiness: 79*","$5,147,667,910,000 USD",0.1876
Chile,"$596,556,000,000 USD","$6,800,000,000 USD","8,959,033","80,000","40,000","7,645","80,000","25,000","Stock: 274			
Readiness: 178*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 45 (16.4%)

Readiness: 29*","Stock: 33 (12.0%)

Readiness: 21*","Stock: 86 (31.4%)

Readiness: 56*","Stock: 18 (6.6%)

Readiness: 12*","Stock: 92 (33.6%)

Readiness: 60*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (1.8%)

Readiness: 3*",130,0,0,0,8,0,4,40,0,"Stock: 386				
Readiness: 251*","Stock: 7,480            	
Readiness: 4,862*","Stock: 48				
Readiness: 31*","Stock: 249				
Readiness: 162*","Stock: 9				
Readiness: 6*","$235,950,000,000 USD",0.8704
Romania,"$774,376,000,000 USD","$10,230,630,000 USD","9,437,041","90,000","55,000","11,700","39,250","6,800","Stock: 148			
Readiness: 89*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 29 (19.6%)

Readiness: 17*","Stock: 13 (8.8%)

Readiness: 8*","Stock: 66 (44.6%)

Readiness: 40*","Stock: 2 (1.4%)

Readiness: 1*","Stock: 44 (29.7%)

Readiness: 26*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",18,0,0,0,3,7,0,0,7,"Stock: 451				
Readiness: 271*","Stock: 13,266            	
Readiness: 7,960*","Stock: 0				
Readiness: 0*","Stock: 720				
Readiness: 432*","Stock: 243				
Readiness: 146*","$145,200,000,000 USD",0.9558
Burkina Faso,"$60,001,000,000 USD","$4,590,000,000 USD","8,525,614","7,500",0,300,"7,000",0,"Stock: 26			
Readiness: 8*","Stock: 3 (11.5%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 19 (73.1%)

Readiness: 6*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (19.2%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 876            	
Readiness: 350*","Stock: 0				
Readiness: 0*","Stock: 8				
Readiness: 3*","Stock: 9				
Readiness: 4*","$3,565,000,000 USD",2.9213
Bulgaria,"$219,645,000,000 USD","$2,485,350,000 USD","3,187,850","36,950","3,000","8,500","39,950","4,450","Stock: 71			
Readiness: 46*","Stock: 5 (7.0%)

Readiness: 3*","Stock: 11 (15.5%)

Readiness: 7*","Stock: 6 (8.5%)

Readiness: 4*","Stock: 23 (32.4%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 26 (36.6%)

Readiness: 17*","Stock: 4 (5.6%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",45,0,0,0,6,3,0,0,17,"Stock: 334				
Readiness: 217*","Stock: 6,724            	
Readiness: 4,371*","Stock: 48				
Readiness: 31*","Stock: 24				
Readiness: 16*","Stock: 24				
Readiness: 16*","$14,277,000,000 USD",1.2522
North Korea,"$15,416,000,000 USD","$4,750,000,000 USD","9,467,520","1,320,000","560,000","110,000","1,370,000","60,000","Stock: 837			
Readiness: 377*","Stock: 114 (13.6%)

Readiness: 51*","Stock: 341 (40.7%)

Readiness: 153*","Stock: 1 (0.1%)

Readiness: 0*","Stock: 205 (24.5%)

Readiness: 92*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 176 (21.0%)

Readiness: 79*","Stock: 20 (2.4%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*",332,0,0,2,2,8,24,227,1,"Stock: 4,895				
Readiness: 2,448*","Stock: 47,792            	
Readiness: 23,896*","Stock: 1,300				
Readiness: 650*","Stock: 700				
Readiness: 350*","Stock: 1,500				
Readiness: 750*","$6,050,000,000 USD",0.5933
Peru,"$535,911,000,000 USD","$2,552,000,000 USD","15,648,120","120,000","386,000","12,100","92,500","26,000","Stock: 252			
Readiness: 139*","Stock: 22 (8.7%)

Readiness: 12*","Stock: 15 (6.0%)

Readiness: 8*","Stock: 39 (15.5%)

Readiness: 21*","Stock: 112 (44.4%)

Readiness: 62*","Stock: 12 (4.8%)

Readiness: 7*","Stock: 68 (27.0%)

Readiness: 37*","Stock: 16 (6.3%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*",78,0,0,0,7,8,6,13,0,"Stock: 355				
Readiness: 231*","Stock: 9,168            	
Readiness: 5,959*","Stock: 12				
Readiness: 8*","Stock: 290				
Readiness: 189*","Stock: 61				
Readiness: 40*","$38,102,000,000 USD",0.8827
Somalia,"$26,770,000,000 USD","$870,000,000 USD","2,993,973","30,000",0,550,"29,150",500,"Stock: 6			
Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (100.0%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",19,0,0,0,0,0,0,19,0,"Stock: 0				
Readiness: 0*","Stock: 1,104            	
Readiness: 497*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$2,563,000,000 USD",3.7393
Zambia,"$79,207,000,000 USD","$385,321,000 USD","7,279,691","15,150",0,"3,745","13,250",0,"Stock: 78			
Readiness: 39*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (16.7%)

Readiness: 7*","Stock: 33 (42.3%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 34 (43.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 75				
Readiness: 41*","Stock: 848            	
Readiness: 466*","Stock: 12				
Readiness: 7*","Stock: 60				
Readiness: 33*","Stock: 50				
Readiness: 28*","$16,597,000,000 USD",2.4461
India,"$14,244,000,000,000 USD","$109,000,000,000 USD","662,290,299","1,431,000","1,000,000","289,000","2,148,000","148,869","Stock: 2,183			
Readiness: 1,637*","Stock: 124 (5.7%)

Readiness: 93*","Stock: 476 (21.8%)

Readiness: 357*","Stock: 277 (12.7%)

Readiness: 208*","Stock: 594 (27.2%)

Readiness: 446*","Stock: 72 (3.3%)

Readiness: 54*","Stock: 334 (15.3%)

Readiness: 251*","Stock: 79 (3.6%)

Readiness: 59*","Stock: 6 (0.3%)

Readiness: 5*",343,2,0,13,18,21,18,146,0,"Stock: 3,913				
Readiness: 2,935*","Stock: 163,554            	
Readiness: 122,666*","Stock: 100				
Readiness: 75*","Stock: 5,640				
Readiness: 4,230*","Stock: 300				
Readiness: 225*","$212,728,000,000 USD",0.1346
Poland,"$1,649,000,000,000 USD","$55,865,141,600 USD","18,985,692","250,000","350,000","16,500","110,000","8,240","Stock: 457			
Readiness: 297*","Stock: 12 (2.6%)

Readiness: 8*","Stock: 58 (12.7%)

Readiness: 38*","Stock: 44 (9.6%)

Readiness: 29*","Stock: 224 (49.0%)

Readiness: 146*","Stock: 11 (2.4%)

Readiness: 7*","Stock: 112 (24.5%)

Readiness: 73*","Stock: 29 (6.3%)

Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*",63,0,0,0,2,2,1,3,29,"Stock: 798				
Readiness: 519*","Stock: 57,972            	
Readiness: 37,682*","Stock: 593				
Readiness: 385*","Stock: 0				
Readiness: 0*","Stock: 298				
Readiness: 194*","$425,641,700,000 USD",0.3891
Honduras,"$71,297,000,000 USD","$612,300,000 USD","4,192,843","52,225",0,"8,520","83,000","4,000","Stock: 45			
Readiness: 25*","Stock: 7 (15.6%)

Readiness: 4*","Stock: 6 (13.3%)

Readiness: 3*","Stock: 10 (22.2%)

Readiness: 6*","Stock: 11 (24.4%)

Readiness: 6*","Stock: 1 (2.2%)

Readiness: 1*","Stock: 10 (22.2%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",98,0,0,0,0,0,0,93,0,"Stock: 22				
Readiness: 14*","Stock: 4,666            	
Readiness: 3,033*","Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 31*","Stock: 0				
Readiness: 0*","$7,785,000,000 USD",2.2575
Mongolia,"$59,221,000,000 USD","$1,590,000,000 USD","1,870,555","35,000","230,000","1,500","35,000",0,"Stock: 8			
Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (37.5%)

Readiness: 2*","Stock: 3 (37.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (25.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 420				
Readiness: 231*","Stock: 11,040            	
Readiness: 6,072*","Stock: 0				
Readiness: 0*","Stock: 500				
Readiness: 275*","Stock: 130				
Readiness: 72*","$8,379,000,000 USD",1.9987
Algeria,"$722,912,000,000 USD","$25,000,000,000 USD","22,570,787","130,000","150,000","14,000","280,000","15,000","Stock: 620			
Readiness: 403*","Stock: 42 (6.8%)

Readiness: 27*","Stock: 111 (17.9%)

Readiness: 72*","Stock: 63 (10.2%)

Readiness: 41*","Stock: 300 (48.4%)

Readiness: 195*","Stock: 10 (1.6%)

Readiness: 7*","Stock: 90 (14.5%)

Readiness: 59*","Stock: 74 (11.9%)

Readiness: 48*","Stock: 4 (0.6%)

Readiness: 3*",111,0,0,0,8,8,6,75,3,"Stock: 1,485				
Readiness: 965*","Stock: 24,920            	
Readiness: 16,198*","Stock: 224				
Readiness: 146*","Stock: 483				
Readiness: 314*","Stock: 188				
Readiness: 122*","$4,764,000,000 USD",0.4849
France,"$3,732,000,000,000 USD","$67,232,395,000 USD","30,084,820","264,000","43,444","44,120","141,600","47,000","Stock: 974			
Readiness: 779*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 223 (22.9%)

Readiness: 178*","Stock: 118 (12.1%)

Readiness: 94*","Stock: 452 (46.4%)

Readiness: 362*","Stock: 44 (4.5%)

Readiness: 35*","Stock: 140 (14.4%)

Readiness: 112*","Stock: 67 (6.9%)

Readiness: 54*","Stock: 15 (1.5%)

Readiness: 12*",166,1,3,11,5,0,9,22,19,"Stock: 427				
Readiness: 342*","Stock: 110,784            	
Readiness: 88,627*","Stock: 74				
Readiness: 59*","Stock: 0				
Readiness: 0*","Stock: 9				
Readiness: 7*","$7,691,315,390,000 USD",0.1798
Finland,"$313,591,000,000 USD","$8,890,000,000 USD","2,306,830","24,000","870,000","41,100","42,000","6,700","Stock: 162			
Readiness: 122*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 53 (32.7%)

Readiness: 40*","Stock: 11 (6.8%)

Readiness: 8*","Stock: 27 (16.7%)

Readiness: 20*","Stock: 1 (0.6%)

Readiness: 1*","Stock: 77 (47.5%)

Readiness: 58*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",165,0,0,0,0,0,0,8,18,"Stock: 200				
Readiness: 150*","Stock: 14,866            	
Readiness: 11,150*","Stock: 125				
Readiness: 94*","Stock: 667				
Readiness: 500*","Stock: 76				
Readiness: 57*","$726,000,000,000 USD",0.8673
Taiwan,"$1,743,000,000,000 USD","$31,180,000,000 USD","12,269,542","230,000","1,657,000","125,000","94,000","107,000","Stock: 720			
Readiness: 504*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 258 (35.8%)

Readiness: 181*","Stock: 19 (2.6%)

Readiness: 13*","Stock: 239 (33.2%)

Readiness: 167*","Stock: 18 (2.5%)

Readiness: 13*","Stock: 215 (29.9%)

Readiness: 151*","Stock: 91 (12.6%)

Readiness: 64*","Stock: 0 (0.0%)

Readiness: 0*",91,0,0,4,21,7,4,36,10,"Stock: 1,090				
Readiness: 709*","Stock: 24,067            	
Readiness: 15,644*","Stock: 488				
Readiness: 317*","Stock: 1,360				
Readiness: 884*","Stock: 223				
Readiness: 145*","$229,900,000,000 USD",0.3927
Iran,"$1,486,000,000,000 USD","$9,230,000,000 USD","49,496,685","610,000","350,000","37,000","350,000","20,000","Stock: 551			
Readiness: 303*","Stock: 21 (3.8%)

Readiness: 12*","Stock: 188 (34.1%)

Readiness: 103*","Stock: 86 (15.6%)

Readiness: 47*","Stock: 129 (23.4%)

Readiness: 71*","Stock: 10 (1.8%)

Readiness: 6*","Stock: 103 (18.7%)

Readiness: 57*","Stock: 13 (2.4%)

Readiness: 7*","Stock: 6 (1.1%)

Readiness: 3*",109,0,0,0,7,3,25,21,1,"Stock: 2,675				
Readiness: 1,605*","Stock: 75,939            	
Readiness: 45,563*","Stock: 424				
Readiness: 254*","Stock: 1,803				
Readiness: 1,082*","Stock: 1,550				
Readiness: 930*","$6,759,000,000 USD",0.3199
Cambodia,"$123,676,000,000 USD","$750,000,000 USD","8,190,561","124,300",0,"1,500","75,000","2,800","Stock: 24			
Readiness: 13*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (16.7%)

Readiness: 2*","Stock: 20 (83.3%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",20,0,0,0,0,0,0,20,0,"Stock: 520				
Readiness: 286*","Stock: 5,439            	
Readiness: 2,991*","Stock: 30				
Readiness: 17*","Stock: 525				
Readiness: 289*","Stock: 521				
Readiness: 287*","$8,019,000,000 USD",1.8434
Afghanistan,"$82,238,000,000 USD","$145,000,000 USD","15,647,405","75,000",0,0,"165,000",0,"Stock: 5			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (40.0%)

Readiness: 0*","Stock: 3 (60.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 3,902            	
Readiness: 1,366*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$1,929,750,000 USD",2.7342
Turkey,"$3,018,000,000,000 USD","$51,400,000,000 USD","42,985,080","481,000","380,000","52,850","401,500","100,000","Stock: 1,101			
Readiness: 771*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 201 (18.3%)

Readiness: 141*","Stock: 84 (7.6%)

Readiness: 59*","Stock: 509 (46.2%)

Readiness: 356*","Stock: 27 (2.5%)

Readiness: 19*","Stock: 301 (27.3%)

Readiness: 211*","Stock: 111 (10.1%)

Readiness: 78*","Stock: 7 (0.6%)

Readiness: 5*",192,0,1,0,17,9,14,40,11,"Stock: 2,284				
Readiness: 1,599*","Stock: 98,193            	
Readiness: 68,735*","Stock: 1,045				
Readiness: 732*","Stock: 635				
Readiness: 445*","Stock: 237				
Readiness: 166*","$149,654,000,000 USD",0.1975
Slovakia,"$218,762,000,000 USD","$2,900,000,000 USD","2,837,461","20,982",0,"3,200","18,282",0,"Stock: 48			
Readiness: 31*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (14.6%)

Readiness: 5*","Stock: 7 (14.6%)

Readiness: 5*","Stock: 22 (45.8%)

Readiness: 14*","Stock: 1 (2.1%)

Readiness: 1*","Stock: 11 (22.9%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 45				
Readiness: 32*","Stock: 6,636            	
Readiness: 4,645*","Stock: 35				
Readiness: 25*","Stock: 9				
Readiness: 6*","Stock: 25				
Readiness: 18*","$140,360,000,000 USD",1.3911
Myanmar,"$287,559,000,000 USD","$2,815,031,361 USD","30,489,384","228,000","19,000","25,000","255,000","30,000","Stock: 331			
Readiness: 182*","Stock: 20 (6.0%)

Readiness: 11*","Stock: 70 (21.1%)

Readiness: 39*","Stock: 33 (10.0%)

Readiness: 18*","Stock: 86 (26.0%)

Readiness: 47*","Stock: 5 (1.5%)

Readiness: 3*","Stock: 120 (36.3%)

Readiness: 66*","Stock: 9 (2.7%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*",239,0,0,0,6,3,3,146,2,"Stock: 1,040				
Readiness: 572*","Stock: 11,576            	
Readiness: 6,367*","Stock: 225				
Readiness: 124*","Stock: 1,680				
Readiness: 924*","Stock: 1,520				
Readiness: 836*","$8,748,000,000 USD",0.6265
Malaysia,"$1,212,000,000,000 USD","$5,100,000,000 USD","16,245,461","113,000","51,600","15,000","130,000","18,000","Stock: 132			
Readiness: 79*","Stock: 11 (8.3%)

Readiness: 7*","Stock: 25 (18.9%)

Readiness: 15*","Stock: 15 (11.4%)

Readiness: 9*","Stock: 45 (34.1%)

Readiness: 27*","Stock: 6 (4.5%)

Readiness: 4*","Stock: 31 (23.5%)

Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.0%)

Readiness: 2*",100,0,0,0,2,4,2,72,4,"Stock: 48				
Readiness: 29*","Stock: 15,415            	
Readiness: 9,249*","Stock: 0				
Readiness: 0*","Stock: 196				
Readiness: 118*","Stock: 36				
Readiness: 22*","$8,748,000,000 USD",0.7379
Libya,"$90,609,000,000 USD","$1,474,800,000 USD","3,827,857","32,000",0,"1,000","85,000","7,500","Stock: 83			
Readiness: 29*","Stock: 1 (1.2%)

Readiness: 0*","Stock: 10 (12.0%)

Readiness: 4*","Stock: 12 (14.5%)

Readiness: 4*","Stock: 22 (26.5%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 35 (42.2%)

Readiness: 12*","Stock: 4 (4.8%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",5,0,0,0,1,0,0,2,0,"Stock: 55				
Readiness: 22*","Stock: 2,728            	
Readiness: 1,091*","Stock: 20				
Readiness: 8*","Stock: 38				
Readiness: 15*","Stock: 25				
Readiness: 10*","$3,654,200,000 USD",1.7872
Hungary,"$389,207,000,000 USD","$5,887,250,000 USD","4,632,200","41,600","20,000","5,750","32,000",0,"Stock: 80			
Readiness: 52*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (15.0%)

Readiness: 8*","Stock: 3 (3.8%)

Readiness: 2*","Stock: 50 (62.5%)

Readiness: 33*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 17 (21.3%)

Readiness: 11*","Stock: 8 (10.0%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 220				
Readiness: 154*","Stock: 11,502            	
Readiness: 8,051*","Stock: 24				
Readiness: 17*","Stock: 295				
Readiness: 207*","Stock: 0				
Readiness: 0*","$151,250,000,000 USD",1.0429
Botswana,"$45,553,000,000 USD","$581,000,000 USD","1,029,281","12,000",0,500,"12,000",0,"Stock: 45			
Readiness: 18*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (22.2%)

Readiness: 4*","Stock: 9 (20.0%)

Readiness: 4*","Stock: 16 (35.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (22.2%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 45				
Readiness: 20*","Stock: 1,224            	
Readiness: 551*","Stock: 12				
Readiness: 5*","Stock: 36				
Readiness: 16*","Stock: 20				
Readiness: 9*","$1,761,000,000 USD",2.9993
Ethiopia,"$380,895,000,000 USD","$3,720,968,976 USD","56,904,143","503,000","138,000","5,000","626,000","11,500","Stock: 104			
Readiness: 62*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 25 (24.0%)

Readiness: 15*","Stock: 9 (8.7%)

Readiness: 5*","Stock: 33 (31.7%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 34 (32.7%)

Readiness: 20*","Stock: 7 (6.7%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 338				
Readiness: 220*","Stock: 8,586            	
Readiness: 5,581*","Stock: 142				
Readiness: 92*","Stock: 469				
Readiness: 305*","Stock: 79				
Readiness: 51*","$25,426,000,000 USD",0.8525
Cameroon,"$143,264,000,000 USD","$835,694,942 USD","10,528,476","38,000",0,420,"47,000","1,000","Stock: 35			
Readiness: 12*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (17.1%)

Readiness: 2*","Stock: 21 (60.0%)

Readiness: 7*","Stock: 2 (5.7%)

Readiness: 1*","Stock: 6 (17.1%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",19,0,0,0,0,0,0,19,0,"Stock: 0				
Readiness: 0*","Stock: 860            	
Readiness: 473*","Stock: 18				
Readiness: 10*","Stock: 52				
Readiness: 29*","Stock: 20				
Readiness: 11*","$11,112,000,000 USD",2.1689
Russia,"$6,089,000,000,000 USD","$212,638,272,000 USD","69,002,197","1,320,000","2,000,000","203,376","600,000","160,000","Stock: 4,237			
Readiness: 2,754*","Stock: 698 (16.5%)

Readiness: 454*","Stock: 861 (20.3%)

Readiness: 560*","Stock: 458 (10.8%)

Readiness: 298*","Stock: 1,643 (38.8%)

Readiness: 1,068*","Stock: 137 (3.2%)

Readiness: 89*","Stock: 530 (12.5%)

Readiness: 345*","Stock: 556 (13.1%)

Readiness: 361*","Stock: 18 (0.4%)

Readiness: 12*",747,1,0,13,12,79,66,70,45,"Stock: 5,630				
Readiness: 3,941*","Stock: 126,512            	
Readiness: 88,558*","Stock: 3,603				
Readiness: 2,522*","Stock: 5,920				
Readiness: 4,144*","Stock: 2,486				
Readiness: 1,740*","$226,475,750,000 USD",0.0791
Mexico,"$2,883,000,000,000 USD","$9,100,000,000 USD","61,447,766","387,000","98,653","30,515","275,443","92,043","Stock: 424			
Readiness: 254*","Stock: 32 (7.5%)

Readiness: 19*","Stock: 2 (0.5%)

Readiness: 1*","Stock: 40 (9.4%)

Readiness: 24*","Stock: 173 (40.8%)

Readiness: 104*","Stock: 25 (5.9%)

Readiness: 15*","Stock: 175 (41.3%)

Readiness: 105*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",164,0,0,0,1,3,0,142,0,"Stock: 0				
Readiness: 0*","Stock: 23,548            	
Readiness: 14,129*","Stock: 35				
Readiness: 21*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$306,308,000,000 USD",0.6401
Qatar,"$317,064,000,000 USD","$11,950,000,000 USD","638,022","26,550","4,000","2,000","12,500","2,500","Stock: 263			
Readiness: 171*","Stock: 6 (2.3%)

Readiness: 4*","Stock: 115 (43.7%)

Readiness: 75*","Stock: 12 (4.6%)

Readiness: 8*","Stock: 85 (32.3%)

Readiness: 55*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 45 (17.1%)

Readiness: 29*","Stock: 24 (9.1%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*",125,0,0,0,0,4,0,107,0,"Stock: 62				
Readiness: 40*","Stock: 5,576            	
Readiness: 3,624*","Stock: 46				
Readiness: 30*","Stock: 12				
Readiness: 8*","Stock: 16				
Readiness: 10*","$205,700,000,000 USD",1.4096
Mali,"$71,253,000,000 USD","$1,110,000,000 USD","6,817,088","40,000",0,550,"44,800",0,"Stock: 44			
Readiness: 18*","Stock: 12 (27.3%)

Readiness: 5*","Stock: 9 (20.5%)

Readiness: 4*","Stock: 8 (18.2%)

Readiness: 3*","Stock: 10 (22.7%)

Readiness: 4*","Stock: 1 (2.3%)

Readiness: 0*","Stock: 4 (9.1%)

Readiness: 2*","Stock: 8 (18.2%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 3,717            	
Readiness: 1,673*","Stock: 0				
Readiness: 0*","Stock: 50				
Readiness: 23*","Stock: 30				
Readiness: 14*","$4,085,000,000 USD",2.2598
